time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2018-04-14T22:52:18Z,161,0,0,0,0,0,4611156,1467,1465267,0,0,0,0,0,0,518408,0,0,0,0,0,0,0,80,5,0,-1,1,6,10819,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523745738014,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,316,86260568,-1,0,0,0,0,0,0,0,0,0,0,1,0,12,0,563,0,247826,0,1126,0,0,0,0,0,0,0,0,0,0,21596,0,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-14T22:53:18Z,161,0,0,0,0,0,4724276,1467,1578387,0,0,0,0,0,0,488144,0,0,0,0,0,0,0,89,5,0,-1,1,6,10624,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523745738014,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,44,187,88522736,-1,0,0,0,0,0,0,0,0,1,0,1,0,11,0,513,0,233050,0,1026,0,0,0,0,0,0,0,0,0,0,20978,0,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-14T22:54:18Z,161,0,0,0,0,0,4815324,1467,1669435,0,0,0,0,0,0,452506,0,0,0,0,0,0,0,95,5,0,-1,1,6,9578,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523745738014,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,73,106171072,-1,0,0,0,0,0,0,0,0,1,0,1,0,11,0,403,0,216120,0,806,0,0,0,0,0,0,0,0,0,0,19423,0,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-14T22:55:18Z,161,0,0,0,0,0,4896980,1467,1751091,0,0,0,0,0,0,498709,0,0,0,0,0,0,0,99,5,0,-1,1,6,9784,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523745738014,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,96,163715272,-1,0,0,0,0,0,0,0,0,1,0,1,0,11,0,378,0,238452,0,756,0,0,0,0,0,0,0,0,0,0,21013,0,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-14T22:56:18Z,161,0,0,0,0,0,4960476,1467,1814587,0,0,0,0,0,0,487712,0,0,0,0,0,0,0,102,5,0,-1,1,6,9457,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523745738014,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,112,270475032,-1,0,0,0,0,0,0,0,0,0,0,1,0,12,0,319,0,233168,0,638,0,0,0,0,0,0,0,0,0,0,20701,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-14T22:57:18Z,161,0,0,0,0,0,5009492,1467,1863603,0,0,0,0,0,0,425554,0,0,0,0,0,0,0,103,5,0,-1,1,6,8801,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523745738014,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,93,185589088,-1,0,0,0,0,0,0,0,0,1,0,1,0,11,0,268,0,203078,0,536,0,0,0,0,0,0,0,0,0,0,18826,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-14T22:58:18Z,161,0,0,0,0,0,5079804,1467,1933915,0,0,0,0,0,0,436876,0,0,0,0,0,0,0,107,5,0,-1,1,6,8812,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523745738014,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,57,264736696,-1,0,0,0,0,0,0,0,0,2,0,1,0,10,0,351,0,208532,0,702,0,0,0,0,0,0,0,0,0,0,19074,0,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-14T22:59:18Z,161,0,0,0,0,0,5143380,1467,1997491,0,0,0,0,0,0,453842,0,0,0,0,0,0,0,110,5,0,-1,1,6,8825,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523745738014,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,61,227000808,-1,0,0,0,0,0,0,0,0,0,0,1,0,12,0,313,0,216942,0,626,0,0,0,0,0,0,0,0,0,0,19295,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-14T23:00:18Z,161,0,0,0,0,0,5218644,1467,2072755,0,0,0,0,0,0,432758,0,0,0,0,0,0,0,113,5,0,-1,1,6,8792,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523745738014,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,52,174226424,-1,0,0,0,0,0,0,0,0,0,0,1,0,12,0,329,0,206332,0,658,0,0,0,0,0,0,0,0,0,0,19399,0,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-14T23:01:18Z,161,0,0,0,0,0,5279772,1467,2133883,0,0,0,0,0,0,444624,0,0,0,0,0,0,0,116,5,0,-1,1,6,9502,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523745738014,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,50,138140528,-1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,292,0,211772,0,584,0,0,0,0,0,0,0,0,0,0,20454,0,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-14T23:02:18Z,161,0,0,0,0,0,5370812,1467,2224923,0,0,0,0,0,0,418717,0,0,0,0,0,0,0,123,5,0,-1,1,6,8860,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523745738014,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,54,218310448,-1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,387,0,199396,0,774,0,0,0,0,0,0,0,0,0,0,19112,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-14T23:03:18Z,161,0,0,0,0,0,5432924,1467,2287035,0,0,0,0,0,0,409236,0,0,0,0,0,0,0,128,5,0,-1,1,6,9202,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523745738014,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,475189976,-1,0,0,0,0,0,0,0,0,1,0,0,0,11,0,282,0,194626,0,564,0,0,0,0,0,0,0,0,0,0,19381,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-14T23:04:18Z,161,0,0,0,0,0,5536396,1467,2390507,0,0,0,0,0,0,432353,0,0,0,0,0,0,0,135,7,0,-1,1,7,9729,0,0,0,0,0, ,0,0,0,0,0,0,10346,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523745738014,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,55,216702720,-1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,432,0,205696,0,864,0,0,0,0,0,0,0,0,0,0,20056,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
