5497 ==> 861 #SUP: 85 #CONF: 0.06305637982195846
861 ==> 5497 #SUP: 85 #CONF: 0.1812366737739872
3002 ==> 1141 #SUP: 86 #CONF: 0.12027972027972028
1141 ==> 3002 #SUP: 86 #CONF: 0.16044776119402984
4362 ==> 1141 #SUP: 97 #CONF: 0.07427258805513016
1141 ==> 4362 #SUP: 97 #CONF: 0.18097014925373134
4362 ==> 2381 #SUP: 107 #CONF: 0.08192955589586524
2381 ==> 4362 #SUP: 107 #CONF: 0.1451831750339213
3701 ==> 3002 #SUP: 124 #CONF: 0.06935123042505593
3002 ==> 3701 #SUP: 124 #CONF: 0.17342657342657342
4362 ==> 3002 #SUP: 129 #CONF: 0.09877488514548238
3002 ==> 4362 #SUP: 129 #CONF: 0.18041958041958042
8196 ==> 3002 #SUP: 82 #CONF: 0.06666666666666667
3002 ==> 8196 #SUP: 82 #CONF: 0.11468531468531469
5497 ==> 3701 #SUP: 112 #CONF: 0.0830860534124629
3701 ==> 5497 #SUP: 112 #CONF: 0.06263982102908278
8196 ==> 3701 #SUP: 143 #CONF: 0.11626016260162601
3701 ==> 8196 #SUP: 143 #CONF: 0.07997762863534676
10162 ==> 3701 #SUP: 85 #CONF: 0.13980263157894737
3701 ==> 10162 #SUP: 85 #CONF: 0.04753914988814318
5497 ==> 4362 #SUP: 91 #CONF: 0.06750741839762611
4362 ==> 5497 #SUP: 91 #CONF: 0.06967840735068913
8196 ==> 4362 #SUP: 120 #CONF: 0.0975609756097561
4362 ==> 8196 #SUP: 120 #CONF: 0.09188361408882083
10162 ==> 4362 #SUP: 78 #CONF: 0.12828947368421054
4362 ==> 10162 #SUP: 78 #CONF: 0.05972434915773354
5497 ==> 4412 #SUP: 132 #CONF: 0.09792284866468842
4412 ==> 5497 #SUP: 132 #CONF: 0.2018348623853211
8196 ==> 4412 #SUP: 89 #CONF: 0.07235772357723577
4412 ==> 8196 #SUP: 89 #CONF: 0.13608562691131498
10162 ==> 4412 #SUP: 86 #CONF: 0.14144736842105263
4412 ==> 10162 #SUP: 86 #CONF: 0.13149847094801223
